nama_pos_pemadam,kotamadya,alamat,keterangan,jumlah
"Pos Muara Baru","Jakarta Utara","Jl. Pelabuhan Perikanan","Personil - Group B","5"
"Pos Penjaringan","Jakarta Utara","Jl.Jln. Tanah Merah. Kec. Penjaringan","Personil - Group B","4"
"Kantor Sudin Jakarta Barat","Jakarta Barat","Jl. Tanjung Duren Raya No. 1","Personil - Group B","26"
"Kantor Sektor I","Jakarta Barat","Jl. Perdana, Kel. Jelambar","Personil - Group B","10"
"Pos Duta Mas","Jakarta Barat","Jl. Wijaya, Komp. Duta Mas","Personil - Group B","4"
"Kantor Sektor III","Jakarta Barat","Jl. Tiang Bendera I No. 1, Roa Malaka","Personil - Group B","10"
"Pos Krendang","Jakarta Barat","Jl. Krendang Utara","Personil - Group B","3"
"Pos Angke","Jakarta Barat","Jl. Angke Indah Raya No. 25 A","Personil - Group B","4"
"Kantor Sektor IV","Jakarta Barat","Jl. Kemukus, Kel. Pinangsia","Personil - Group B","11"
"Pos Lokasari","Jakarta Barat","Jl. Mangga Besar VII","Personil - Group B","4"
"Kantor Sektor V","Jakarta Barat","Jl. Kebon Jeruk Baru Blok C","Personil - Group B","7"
"Pos Keb. Jeruk Lama","Jakarta Barat","Jl. C, Kel. Kelapa Dua","Personil - Group B","4"
"Kantor Sektor VI","Jakarta Barat","Jl. Raya Kembangan","Personil - Group B","8"
"Pos Joglo","Jakarta Barat","Komp. Pemadam, Jl. Raya Joglo","Personil - Group B","4"
"Pos Puri Indah","Jakarta Barat","Komp. Puri Indah, Jl. Puri Sakti","Personil - Group B","4"
"Kantor Sektor VII","Jakarta Barat","Komp. Palem Lestari","Personil - Group B","12"
"Pos Cengkareng","Jakarta Barat","Jl. Cendrawasih, Kel. Cengkareng Barat","Personil - Group B","4"
"Pos Rawa Buaya","Jakarta Barat","Jl. Hikmah, Kel. Rawa Buaya","Personil - Group B","4"
"Pos Kresek","Jakarta Barat","Jl. Nusa Indah, Kel. Duri Kosambi","Personil - Group B","4"
"Kantor Sektor VIII","Jakarta Barat","JL. Komp. Perumahan Citra Garden V","Personil - Group B","6"
"Pos Citra I","Jakarta Barat","Jl. Perum Citra Garden I kel. Pegadungan","Personil - Group B","5"
"Pos Citra II","Jakarta Barat","Jl. Komp. Citra Garden 2","Personil - Group B","4"
"Kantor Sudin Jakarta Selatan","Jakarta Selatan","JL.  Raya Pasar Jum'at - Pd. Pinang - Kebayoran Lama","Personil - Group B","43"
"Pos Kebayoran Baru","Jakarta Selatan","JL. Radio II Keramat Pela - Kebayoran Baru","Personil - Group B","5"
"Pos Tanah Kusir","Jakarta Selatan","JL. Ciputat Raya - Kebayoran Lama  Utara - Kebayoran Lama","Personil - Group B","5"
"Pos Grogol Utara","Jakarta Selatan","JL. Kebayoran Lama - Grogol Utara - Kebayoran Lama","Personil - Group B","4"
"Pos Mampang Prapatan","Jakarta Selatan","JL. Kapten Tendean - Kuningan Barat - Mampang Prapatan","Personil - Group B","6"
"Pos Walikota","Jakarta Selatan","JL. Prapanca Raya - Petogogan - Kebayoran Baru","Personil - Group B","4"
"Kantor Sektor Pesanggrahan","Jakarta Selatan","JL. Saidi - Pesanggrahan - Pesanggrahan","Personil - Group B","6"
"Pos Cipulir","Jakarta Selatan","JL. Ciledug Raya - Cipulir - Kebakyoyan Lama","Personil - Group B","5"
"Pos Cipete","Jakarta Selatan","JL. Melati Raya - Cipete Utara - Kebayoran Baru","Personil - Group B","6"
"Pos Fatmawati","Jakarta Selatan","JL. RS. Fatmawati - Cilandak Barat - Cilandak","Personil - Group B","5"
"Pos Tebet","Jakarta Selatan","JL. Sugiono, SH - Tebet - Tebet","Personil - Group B","15"
"Pos Casablanca","Jakarta Selatan","JL. Raya Casablanca - Menteng Atas - Setia Budi","Personil - Group B","6"
"Pos Kalibata","Jakarta Selatan","JL. Taman Makam Pahlawan - Kalibata -","Personil - Group B","6"
"Kantor Sektor Pasar Minggu","Jakarta Selatan","Jl. Salihara","Personil - Group B","11"
"Pos Pasar Minggu","Jakarta Selatan","Jl. Lenteng Agung","Personil - Group B","5"
"Pos Pejaten","Jakarta Selatan","Jl. Pejaten Raya","Personil - Group B","5"
"Kantor Sektor Jagakarsa","Jakarta Selatan","Jl. M. Kahfi 1 - Jagakarsa - Jagakarsa","Personil - Group B","5"
"Pos Srengseng Sawah","Jakarta Selatan","Jl. Raya Srengseng Sawah - Srengseng Sawah - Jagakarsa","Personil - Group B","4"
"Pos Ciganjur","Jakarta Selatan","Jl. Brigif","Personil - Group B","5"
"Kantor Sudin Jakarta Timur","Jakarta Timur","Jl. Matraman Raya","Personil - Group B","18"
"Pos Utan Kayu","Jakarta Timur","Jl. Pengayoman","Personil - Group B","3"
"Pos Kayu Putih","Jakarta Timur","Jl. Pulo Mas Barat","Personil - Group B","3"
"Pos Cipinang","Jakarta Timur","Jl. Ps. Induk Cipinang","Personil - Group B","3"
"Sektor Pemuda","Jakarta Timur","Jl. Pemuda","Personil - Group B","7"
"Kantor Sektor","Jakarta Timur","Jl. Cakung Barat","Personil - Group B","8"
"Pos Walikota JT","Jakarta Timur","Jl. Primer","Personil - Group B","12"
"Pos Cipinang Cimpedak","Jakarta Timur","Jl. Kebon Nanas","Personil - Group B","9"
"Kantor Sektor","Jakarta Timur","Jl. Saluran Inspeksi Kalimalang","Personil - Group B","9"
"Pos Duren Sawit","Jakarta Timur","Jl. Swadaya","Personil - Group B","4"
"Pos Klender/Malaka ","Jakarta Timur","Jl. Bunga Rampai","Personil - Group B","3"
"Kantor Sektor Makassar","Jakarta Timur","Jl. Kamboja","Personil - Group B","8"
"Pos Batu Ampar","Jakarta Timur","Jl. Batu Ampar","Personil - Group B","8"
"Kantor Sektor","Jakarta Timur","Jl. Poncol","Personil - Group B","8"
"Pos Kramat Jati","Jakarta Timur","Jl. Raya Bogor","Personil - Group B","4"
"Pos Cipayung","Jakarta Timur","Jl. Raya Hankam","Personil - Group B","4"
"Pos Taman Mini","Jakarta Timur","Komplek Taman Mini Indonesia Indah","Personil - Group B","4"
